# time,X,Y,Z,id,intensity,distance
119520111,0.343104,0.390868,-0.058760,8,3,0.524
119520277,0.347088,0.387334,-0.058760,8,3,0.524
119521779,0.372765,0.344098,-0.024387,12,3,0.508
119521890,0.375143,0.341504,-0.024387,12,3,0.508
119521945,0.376303,0.340225,-0.024387,12,3,0.508
119522001,0.377459,0.338942,-0.024387,12,3,0.508
119522381,0.394784,0.337714,0.075685,9,1,0.526
119522547,0.398346,0.333505,0.075685,9,1,0.526
119522602,0.399479,0.332147,0.075685,9,1,0.526
119522712,0.401810,0.329324,0.075685,9,1,0.526
119522717,0.390329,0.319720,0.089976,11,2,0.514
119522768,0.402964,0.327911,0.075685,9,1,0.526
119522823,0.404078,0.326537,0.075685,9,1,0.526
119522878,0.405197,0.325147,0.075685,9,1,0.526
119522936,0.409877,0.326459,-0.042144,10,4,0.526
119523385,0.417539,0.313718,0.110874,13,2,0.536
119523938,0.428338,0.298806,0.110874,13,2,0.536
119524157,0.420029,0.284488,-0.024387,12,3,0.508
119524212,0.421031,0.283001,-0.024387,12,3,0.508
119524219,0.428215,0.287552,0.127009,15,2,0.534
119524268,0.422041,0.281493,-0.024387,12,3,0.508
119524275,0.429241,0.286018,0.127009,15,2,0.534
119524323,0.423033,0.280000,-0.024387,12,3,0.508
119524330,0.430246,0.284504,0.127009,15,2,0.534
119524489,0.424229,0.274525,-0.024282,12,3,0.506
119524544,0.425173,0.273061,-0.024282,12,3,0.506
119524599,0.426124,0.271575,-0.024282,12,3,0.506
119524710,0.428009,0.268594,-0.024282,12,3,0.506
119525043,0.433518,0.259609,-0.024282,12,3,0.506
119525264,0.437078,0.253569,-0.024282,12,3,0.506
119525706,0.444062,0.241131,-0.024282,12,3,0.506
119525927,0.447334,0.235005,-0.024282,12,3,0.506
119525983,0.448111,0.233520,-0.024282,12,3,0.506
119526093,0.449800,0.230249,-0.024282,12,3,0.506
119526148,0.450621,0.228638,-0.024282,12,3,0.506
119526752,0.475933,0.219232,-0.042144,10,4,0.526
119526807,0.476733,0.217486,-0.042144,10,4,0.526
119526916,0.474121,0.212401,0.075685,9,1,0.526
119527358,0.479821,0.199190,0.075685,9,1,0.526
119527469,0.481200,0.195836,0.075685,9,1,0.526
119527524,0.481881,0.194155,0.075685,9,1,0.526
119527531,0.470629,0.189382,-0.024387,12,3,0.508
119527586,0.471287,0.187738,-0.024387,12,3,0.508
119527634,0.483231,0.190770,0.075685,9,1,0.526
119527641,0.471948,0.186072,-0.024387,12,3,0.508
119527690,0.483910,0.189040,0.075685,9,1,0.526
119527697,0.472610,0.184382,-0.024387,12,3,0.508
119527752,0.473251,0.182731,-0.024387,12,3,0.508
119527807,0.473870,0.181119,-0.024387,12,3,0.508
119527911,0.486481,0.182323,0.075685,9,1,0.526
119528021,0.487742,0.178923,0.075685,9,1,0.526
119528028,0.476345,0.174506,-0.024387,12,3,0.508
119528077,0.488369,0.177203,0.075685,9,1,0.526
119528084,0.476959,0.172822,-0.024387,12,3,0.508
119528088,0.475712,0.172209,-0.008131,14,3,0.506
