# time,X,Y,Z,id,intensity,distance
122218114,0.286894,0.425999,-0.074746,6,3,0.520
122218280,0.291320,0.422984,-0.074746,6,3,0.520
122220109,0.341114,0.389972,-0.058516,8,3,0.522
122220220,0.343828,0.387581,-0.058516,8,3,0.522
122220275,0.345179,0.386378,-0.058516,8,3,0.522
122220330,0.346526,0.385171,-0.058516,8,3,0.522
122221164,0.368961,0.369267,-0.041970,10,4,0.524
122221666,0.366957,0.344475,-0.024177,12,3,0.504
122221722,0.368157,0.343192,-0.024177,12,3,0.504
122221832,0.370544,0.340613,-0.024177,12,3,0.504
122221888,0.371716,0.339334,-0.024177,12,3,0.504
122221998,0.374032,0.336780,-0.024177,12,3,0.504
122222053,0.375205,0.335472,-0.024177,12,3,0.504
122222219,0.378654,0.331574,-0.024177,12,3,0.504
122222544,0.396273,0.332903,0.075372,9,1,0.524
122222599,0.397461,0.331483,0.075372,9,1,0.524
122222710,0.401349,0.329885,0.075685,9,1,0.526
122222765,0.402448,0.328543,0.075685,9,1,0.526
122222768,0.404418,0.330055,-0.041970,10,4,0.524
122222821,0.403564,0.327172,0.075685,9,1,0.526
122222825,0.402705,0.326286,0.092647,11,2,0.528
122222876,0.404697,0.325770,0.075685,9,1,0.526
122222931,0.405860,0.324320,0.075685,9,1,0.526
122223056,0.403969,0.317607,0.126492,15,2,0.532
122223097,0.409251,0.320030,0.075685,9,1,0.526
122223162,0.411175,0.318844,0.110424,13,2,0.534
122223378,0.448361,0.338000,0.101043,11,2,0.572
122223438,0.416677,0.311620,0.110424,13,2,0.534
122223553,0.413746,0.304761,0.126492,15,2,0.532
122223609,0.414807,0.303315,0.126492,15,2,0.532
122223940,0.421120,0.294488,0.126492,15,2,0.532
122224046,0.428384,0.295320,0.110424,13,2,0.534
122224106,0.424165,0.290085,0.126492,15,2,0.532
122224161,0.425149,0.288640,0.126492,15,2,0.532
122224217,0.426145,0.287168,0.126492,15,2,0.532
122224265,0.418242,0.279989,-0.024177,12,3,0.504
122224272,0.427145,0.285679,0.126492,15,2,0.532
122224320,0.419229,0.278509,-0.024177,12,3,0.504
122224327,0.428155,0.284163,0.126492,15,2,0.532
122224376,0.420223,0.277007,-0.024177,12,3,0.504
122224383,0.429169,0.282629,0.126492,15,2,0.532
122224486,0.422159,0.274048,-0.024177,12,3,0.504
122224597,0.423990,0.271205,-0.024177,12,3,0.504
