# time,X,Y,Z,id,intensity,distance
126720104,0.339807,0.388478,-0.058272,8,3,0.520
126720159,0.341161,0.387289,-0.058272,8,3,0.520
126720214,0.342511,0.386096,-0.058272,8,3,0.520
126720380,0.346446,0.382569,-0.058272,8,3,0.520
126720491,0.349064,0.380181,-0.058272,8,3,0.520
126721214,0.368880,0.366527,-0.041795,10,4,0.522
126721772,0.367768,0.340676,-0.024073,12,3,0.502
126721882,0.370123,0.338117,-0.024073,12,3,0.502
126721938,0.371271,0.336855,-0.024073,12,3,0.502
126722048,0.373643,0.334222,-0.024073,12,3,0.502
126722104,0.374808,0.332916,-0.024073,12,3,0.502
126722428,0.392377,0.334449,0.075059,9,1,0.522
126722594,0.395905,0.330265,0.075059,9,1,0.522
126722705,0.398201,0.327493,0.075059,9,1,0.522
126722760,0.399331,0.326115,0.075059,9,1,0.522
126722815,0.400438,0.324754,0.075059,9,1,0.522
126722871,0.401541,0.323389,0.075059,9,1,0.522
126723038,0.404934,0.319131,0.075059,9,1,0.522
126723213,0.410646,0.316342,0.109974,13,2,0.532
126723544,0.417181,0.307673,0.109974,13,2,0.532
126723766,0.421512,0.301711,0.109974,13,2,0.532
126723770,0.416373,0.297853,0.125974,15,2,0.530
126723826,0.417384,0.296435,0.125974,15,2,0.530
126723881,0.418423,0.294967,0.125974,15,2,0.530
126724047,0.421524,0.290518,0.125974,15,2,0.530
126724102,0.422535,0.289045,0.125974,15,2,0.530
126724157,0.423542,0.287569,0.125974,15,2,0.530
126724316,0.417481,0.277531,-0.024073,12,3,0.502
126724378,0.427497,0.281655,0.125974,15,2,0.530
126724434,0.428496,0.280133,0.125974,15,2,0.530
126724482,0.420436,0.273034,-0.024073,12,3,0.502
126724489,0.429471,0.278636,0.125974,15,2,0.530
126724537,0.421386,0.271565,-0.024073,12,3,0.502
126724544,0.430441,0.277135,0.125974,15,2,0.530
126724593,0.422332,0.270092,-0.024073,12,3,0.502
126724655,0.432365,0.274123,0.125974,15,2,0.530
126724703,0.424207,0.267137,-0.024073,12,3,0.502
126724710,0.433320,0.272612,0.125974,15,2,0.530
126724814,0.425992,0.264281,-0.024073,12,3,0.502
126724821,0.435136,0.269704,0.125974,15,2,0.530
126724869,0.426901,0.262811,-0.024073,12,3,0.502
126724924,0.427838,0.261282,-0.024073,12,3,0.502
126724980,0.428759,0.259768,-0.024073,12,3,0.502
126725533,0.437564,0.244646,-0.024073,12,3,0.502
126725809,0.441798,0.236915,-0.024073,12,3,0.502
126725864,0.442622,0.235371,-0.024073,12,3,0.502
126725975,0.444214,0.232353,-0.024073,12,3,0.502
126726030,0.445002,0.230840,-0.024073,12,3,0.502
126726086,0.445795,0.229304,-0.024073,12,3,0.502
126726141,0.446593,0.227747,-0.024073,12,3,0.502
126726196,0.447395,0.226167,-0.024073,12,3,0.502
126726410,0.465038,0.227147,0.075372,9,1,0.524
126726463,0.464532,0.224931,-0.058272,8,3,0.520
