# time,X,Y,Z,id,intensity,distance
124620180,0.340688,0.387706,-0.058272,8,3,0.520
124620236,0.342039,0.386514,-0.058272,8,3,0.520
124620291,0.343386,0.385318,-0.058272,8,3,0.520
124620346,0.344729,0.384117,-0.058272,8,3,0.520
124621793,0.368875,0.342420,-0.024177,12,3,0.504
124621959,0.372381,0.338603,-0.024177,12,3,0.504
124622070,0.374736,0.335996,-0.024177,12,3,0.504
124622180,0.377073,0.333371,-0.024177,12,3,0.504
124622461,0.387960,0.330920,-0.008201,14,3,0.510
124622616,0.397005,0.332029,0.075372,9,1,0.524
124622671,0.398133,0.330676,0.075372,9,1,0.524
124622781,0.400453,0.327862,0.075372,9,1,0.524
124622837,0.401603,0.326454,0.075372,9,1,0.524
124622839,0.403562,0.327951,-0.041795,10,4,0.522
124622892,0.402711,0.325085,0.075372,9,1,0.524
124622947,0.403837,0.323686,0.075372,9,1,0.524
124623058,0.406132,0.320801,0.075372,9,1,0.524
124623067,0.408489,0.322278,0.110424,13,2,0.534
124623113,0.407249,0.319382,0.075372,9,1,0.524
124623454,0.416241,0.312201,0.110424,13,2,0.534
124623509,0.417329,0.310746,0.110424,13,2,0.534
124623791,0.417553,0.299524,0.126492,15,2,0.532
124624012,0.421684,0.293679,0.126492,15,2,0.532
124624226,0.416906,0.281975,-0.024177,12,3,0.504
124624281,0.417888,0.280518,-0.024177,12,3,0.504
124624399,0.428749,0.283265,0.126492,15,2,0.532
124624509,0.430750,0.280213,0.126492,15,2,0.532
124624613,0.423671,0.271705,-0.024177,12,3,0.504
124624620,0.432680,0.277223,0.126492,15,2,0.532
124624668,0.424593,0.270261,-0.024177,12,3,0.504
124624779,0.426423,0.267365,-0.024177,12,3,0.504
124624786,0.435488,0.272791,0.126492,15,2,0.532
124624834,0.427388,0.265819,-0.024177,12,3,0.504
124624841,0.436476,0.271207,0.126492,15,2,0.532
124625000,0.430148,0.261329,-0.024177,12,3,0.504
124625221,0.433755,0.255297,-0.024177,12,3,0.504
124625608,0.439863,0.244624,-0.024177,12,3,0.504
124625940,0.444890,0.235358,-0.024177,12,3,0.504
124625995,0.445708,0.233804,-0.024177,12,3,0.504
124626051,0.446522,0.232247,-0.024177,12,3,0.504
124626161,0.448132,0.229124,-0.024177,12,3,0.504
124626216,0.448929,0.227558,-0.024177,12,3,0.504
124626820,0.472449,0.217269,-0.041795,10,4,0.522
124626986,0.474699,0.212310,-0.041795,10,4,0.522
124627260,0.476035,0.203095,0.075372,9,1,0.524
124627493,0.468188,0.191724,-0.008131,14,3,0.506
124627537,0.479460,0.194871,0.075372,9,1,0.524
124627599,0.466989,0.187728,-0.024177,12,3,0.504
124627758,0.482136,0.188153,0.075372,9,1,0.524
124627765,0.468953,0.182766,-0.024177,12,3,0.504
