# time,X,Y,Z,id,intensity,distance
118918541,0.297046,0.421402,-0.075059,6,3,0.522
118920259,0.343922,0.390148,-0.058760,8,3,0.524
118920536,0.350678,0.384087,-0.058760,8,3,0.524
118921872,0.372389,0.344504,-0.024387,12,3,0.508
118921983,0.374800,0.341880,-0.024387,12,3,0.508
118922038,0.375977,0.340586,-0.024387,12,3,0.508
118922093,0.377133,0.339304,-0.024387,12,3,0.508
118922204,0.379434,0.336730,-0.024387,12,3,0.508
118922259,0.380651,0.335353,-0.024387,12,3,0.508
118922533,0.379820,0.323118,0.088831,11,2,0.508
118922584,0.398290,0.336641,0.075997,9,1,0.528
118922639,0.399462,0.335248,0.075997,9,1,0.528
118922695,0.400630,0.333852,0.075997,9,1,0.528
118922750,0.401793,0.332451,0.075997,9,1,0.528
118922805,0.402951,0.331047,0.075997,9,1,0.528
118922860,0.404104,0.329638,0.075997,9,1,0.528
118922863,0.406089,0.331159,-0.042144,10,4,0.526
118922916,0.405253,0.328226,0.075997,9,1,0.528
118922920,0.393705,0.318683,0.090357,11,2,0.516
118922971,0.406396,0.326809,0.075997,9,1,0.528
118922973,0.408391,0.328316,-0.042144,10,4,0.526
118923082,0.408706,0.323915,0.075997,9,1,0.528
118923257,0.412826,0.319894,0.110874,13,2,0.536
118923367,0.415050,0.317004,0.110874,13,2,0.536
118923423,0.416154,0.315554,0.110874,13,2,0.536
118923478,0.417253,0.314099,0.110874,13,2,0.536
118923699,0.421597,0.308243,0.110874,13,2,0.536
118924091,0.423825,0.293984,0.127009,15,2,0.534
118924305,0.420722,0.283460,-0.024387,12,3,0.508
118924312,0.427898,0.288024,0.127009,15,2,0.534
118924367,0.428885,0.286552,0.127009,15,2,0.534
118924471,0.423631,0.279095,-0.024387,12,3,0.508
118924637,0.426531,0.274643,-0.024387,12,3,0.508
118924644,0.433796,0.279061,0.127009,15,2,0.534
118924692,0.427487,0.273153,-0.024387,12,3,0.508
118924699,0.434774,0.277535,0.127009,15,2,0.534
118924754,0.435764,0.275978,0.127009,15,2,0.534
118924803,0.429430,0.270087,-0.024387,12,3,0.508
118924858,0.430394,0.268548,-0.024387,12,3,0.508
118924865,0.437728,0.272853,0.127009,15,2,0.534
118924914,0.431282,0.267120,-0.024387,12,3,0.508
118925191,0.435844,0.259609,-0.024387,12,3,0.508
118925467,0.440309,0.251963,-0.024387,12,3,0.508
118925744,0.444639,0.244240,-0.024387,12,3,0.508
118925965,0.448006,0.238008,-0.024387,12,3,0.508
118926075,0.449656,0.234875,-0.024387,12,3,0.508
118926186,0.451285,0.231730,-0.024387,12,3,0.508
118926241,0.452121,0.230094,-0.024387,12,3,0.508
118926296,0.452902,0.228554,-0.024387,12,3,0.508
118926407,0.454477,0.225406,-0.024387,12,3,0.508
118926790,0.474917,0.221424,-0.042144,10,4,0.526
118926845,0.475687,0.219765,-0.042144,10,4,0.526
118926898,0.474147,0.217132,0.075997,9,1,0.528
118926955,0.477209,0.216438,-0.042144,10,4,0.526
118927011,0.477962,0.214771,-0.042144,10,4,0.526
118927340,0.480025,0.203808,0.075997,9,1,0.528
118927561,0.482824,0.197086,0.075997,9,1,0.528
118927672,0.484188,0.193710,0.075997,9,1,0.528
118927679,0.471090,0.188232,-0.024387,12,3,0.508
118927734,0.471744,0.186586,-0.024387,12,3,0.508
118927789,0.472385,0.184959,-0.024387,12,3,0.508
118927838,0.486167,0.188688,0.075997,9,1,0.528
118927845,0.473011,0.183350,-0.024387,12,3,0.508
118927849,0.471776,0.182717,-0.008131,14,3,0.506
118927948,0.487463,0.185316,0.075997,9,1,0.528
118927955,0.474272,0.180064,-0.024387,12,3,0.508
118928004,0.488100,0.183629,0.075997,9,1,0.528
118928066,0.475494,0.176811,-0.024387,12,3,0.508
118928121,0.476101,0.175171,-0.024387,12,3,0.508
118928169,0.489971,0.178577,0.075997,9,1,0.528
118928225,0.490603,0.176834,0.075997,9,1,0.528
118928335,0.491864,0.173297,0.075997,9,1,0.528
118928393,0.494819,0.172419,-0.042144,10,4,0.526
118928501,0.493604,0.168277,0.075997,9,1,0.528
118928557,0.494194,0.166537,0.075997,9,1,0.528
118928612,0.494786,0.164767,0.075997,9,1,0.528
118928667,0.495357,0.163045,0.075997,9,1,0.528
118928722,0.495895,0.161401,0.075997,9,1,0.528
118928734,0.488799,0.158718,-0.008271,14,3,0.514
118928778,0.496427,0.159756,0.075997,9,1,0.528
118928833,0.496954,0.158109,0.075997,9,1,0.528
118928888,0.497551,0.156221,0.075997,9,1,0.528
118928944,0.498120,0.154396,0.075997,9,1,0.528
118929010,0.483885,0.147692,-0.008131,14,10,0.506
118929050,0.480713,0.145426,0.056566,7,11,0.506
118929061,0.479941,0.144811,-0.024073,12,19,0.502
118929105,0.488822,0.146032,0.057541,7,11,0.514
118929114,0.513629,0.153126,0.096082,11,2,0.546
118929116,0.486180,0.144867,-0.024387,12,26,0.508
118929160,0.485508,0.143244,0.057053,7,11,0.510
118929169,0.495314,0.145832,0.092266,11,2,0.526
118929172,0.490502,0.144339,-0.024596,12,29,0.512
118929215,0.499341,0.145452,0.058760,7,21,0.524
118929225,0.492048,0.143010,0.091502,11,2,0.522
118929227,0.487167,0.141512,-0.024387,12,32,0.508
118929232,0.487803,0.141539,-0.008166,14,31,0.508
118929282,0.485750,0.139218,-0.024282,12,35,0.506
118929287,0.484462,0.138692,-0.008096,14,31,0.504
118929335,0.489264,0.138475,0.090739,11,2,0.518
118929338,0.480462,0.135912,-0.023968,12,33,0.500
118929381,0.477888,0.133830,0.055835,7,22,0.500
118929391,0.478376,0.133681,0.088449,11,2,0.506
118929393,0.486680,0.135929,-0.024282,12,29,0.506
118929437,0.505129,0.139598,0.059247,7,21,0.528
118929446,0.501549,0.138279,0.093029,11,2,0.530
118929448,0.485227,0.133699,-0.024177,12,26,0.504
118929492,0.503722,0.137224,0.059003,7,10,0.526
118929501,0.479318,0.130262,0.088449,11,5,0.506
118929503,0.481858,0.130873,-0.023968,12,27,0.500
118929508,0.497926,0.135073,-0.008305,14,24,0.516
118929547,0.481203,0.129249,0.056078,7,11,0.502
118929552,0.478883,0.128484,0.071930,9,4,0.502
118929561,0.504497,0.135058,0.110874,13,2,0.536
118929563,0.498390,0.133349,-0.008305,14,24,0.516
118929602,0.489304,0.129687,0.057053,7,11,0.510
118929619,0.491096,0.129654,-0.008166,14,24,0.508
118929653,0.483795,0.126617,0.040052,5,4,0.502
118929658,0.493585,0.129018,0.057541,7,11,0.514
118929667,0.480634,0.125319,0.088449,11,5,0.506
118929713,0.486365,0.125228,0.056566,7,11,0.506
118929768,0.490663,0.124445,0.057053,7,11,0.510
118929782,0.506346,0.127953,0.110874,13,2,0.536
118929784,0.484706,0.122409,-0.008026,14,25,0.500
118929837,0.506789,0.126185,0.110874,13,2,0.536
118929840,0.489011,0.121682,-0.008096,14,24,0.504
118929879,0.483804,0.119143,0.056078,7,11,0.502
118929934,0.507345,0.123158,0.059003,7,10,0.526
118929948,0.507625,0.122780,0.110874,13,2,0.536
118929990,0.500034,0.119602,0.058028,7,11,0.518
118930045,0.488855,0.115125,0.056566,7,11,0.506
118930600,0.510113,0.101406,-0.058760,8,3,0.524
118931280,0.509753,0.078777,0.127009,15,2,0.534
118931390,0.510301,0.075144,0.127009,15,2,0.534
118931556,0.511063,0.069780,0.127009,15,2,0.534
118931833,0.512203,0.060850,0.127009,15,2,0.534
118935081,0.491999,-0.042655,0.071617,9,1,0.500
118935086,0.535908,-0.046619,0.096463,11,2,0.548
118935095,0.513838,-0.045000,0.127009,15,2,0.534
118935136,0.519390,-0.046857,0.075997,9,1,0.528
118935141,0.586579,-0.053090,0.106385,11,2,0.600
118935150,0.563698,-0.051350,0.140468,15,2,0.586
118935192,0.554627,-0.051970,0.081629,9,1,0.564
118935196,0.562936,-0.052910,0.101806,11,2,0.576
118935205,0.551979,-0.052196,0.137362,15,2,0.574
118935247,0.550514,-0.053475,0.081003,9,1,0.560
118935251,0.594017,-0.057871,0.107912,11,2,0.608
118935256,0.519787,-0.050788,0.110874,13,2,0.536
118935261,0.609478,-0.059726,0.152891,15,2,0.634
118935302,0.550327,-0.055367,0.081003,9,1,0.560
118935307,0.613348,-0.061887,0.111728,11,2,0.628
118935316,0.628487,-0.063784,0.158068,15,2,0.654
118935357,0.569778,-0.059333,0.084132,9,1,0.580
118935362,0.581886,-0.060765,0.105622,11,2,0.596
118935371,0.632103,-0.066381,0.159103,15,2,0.658
118935413,0.569568,-0.061322,0.084132,9,3,0.580
118935417,0.612901,-0.066167,0.111728,11,2,0.628
118935422,0.588976,-0.063758,0.127070,13,2,0.608
118935427,0.666438,-0.072339,0.168420,15,2,0.694
118935468,0.561497,-0.062436,0.082881,9,1,0.572
118935473,0.620471,-0.069177,0.113255,11,2,0.636
118935477,0.615863,-0.068844,0.133369,13,2,0.636
118935482,0.646983,-0.072514,0.163244,15,2,0.674
118935523,0.537726,-0.061694,0.079126,9,1,0.548
118935528,0.608523,-0.069996,0.110965,11,2,0.624
118935537,0.627535,-0.072553,0.158068,15,2,0.654
118935579,0.557124,-0.065891,0.082255,9,3,0.568
118935583,0.561484,-0.066572,0.101806,11,2,0.576
118935592,0.631115,-0.075200,0.159103,15,2,0.658
118935634,0.578463,-0.070443,0.085696,9,3,0.590
118935638,0.584637,-0.071364,0.106385,11,2,0.600
118935648,0.653862,-0.080190,0.165315,15,2,0.682
118935689,0.584100,-0.073148,0.086635,9,3,0.596
118935694,0.611662,-0.076776,0.111728,11,4,0.628
118935703,0.703419,-0.088699,0.178773,15,1,0.734
118935744,0.558375,-0.071876,0.082568,9,3,0.570
118935749,0.591923,-0.076370,0.107912,11,4,0.608
118935758,0.664792,-0.086164,0.168420,15,2,0.694
118935800,0.571829,-0.075638,0.084758,9,3,0.584
118935804,0.603330,-0.079983,0.110202,11,4,0.620
118935814,0.630018,-0.083894,0.159103,15,2,0.658
118935855,0.567649,-0.077083,0.084132,9,4,0.580
118935860,0.575816,-0.078359,0.104859,11,4,0.592
118935869,0.625898,-0.085536,0.158068,15,2,0.654
118935910,0.571297,-0.079560,0.084758,9,3,0.584
118935915,0.575546,-0.080318,0.104859,11,4,0.592
118935924,0.644735,-0.090346,0.163244,15,2,0.674
118935966,0.567112,-0.080945,0.084132,9,4,0.580
118935970,0.559722,-0.080053,0.101806,11,6,0.576
118935979,0.606179,-0.087048,0.152891,15,2,0.634
118936021,0.562924,-0.082304,0.083506,9,4,0.576
118936026,0.582756,-0.085372,0.106385,11,6,0.600
118936035,0.628814,-0.092484,0.159103,15,2,0.658
118936076,0.562632,-0.084274,0.083506,9,4,0.576
118936081,0.568861,-0.085385,0.103714,11,6,0.586
118936090,0.628481,-0.094726,0.159103,15,2,0.658
118936131,0.550604,-0.084537,0.081629,9,4,0.564
118936136,0.560783,-0.086275,0.102188,11,6,0.578
118936145,0.605219,-0.093490,0.152891,15,2,0.634
118936187,0.563959,-0.088648,0.083819,9,4,0.578
118936191,0.568231,-0.089484,0.103714,11,6,0.586
118936201,0.650684,-0.102847,0.165315,15,2,0.682
118936242,0.561704,-0.090253,0.083506,9,4,0.576
118936247,0.573738,-0.092354,0.104859,11,6,0.592
118936256,0.699915,-0.113072,0.178773,15,1,0.734
118936297,0.547746,-0.089942,0.081316,9,6,0.562
118936302,0.585040,-0.096241,0.107149,11,6,0.604
118936311,0.630902,-0.104162,0.160138,15,2,0.662
118936353,0.553273,-0.092834,0.082255,9,4,0.568
118936357,0.569211,-0.095679,0.104096,11,6,0.588
118936367,0.661014,-0.111505,0.168420,15,2,0.694
118936408,0.566574,-0.097101,0.084445,9,6,0.582
118936413,0.555329,-0.095340,0.101424,11,6,0.574
118936422,0.698696,-0.120372,0.178773,15,1,0.734
118936463,0.562340,-0.098397,0.083819,9,4,0.578
118936468,0.553059,-0.096939,0.101043,11,6,0.572
118936472,0.610363,-0.107166,0.133369,13,2,0.636
118936477,0.641193,-0.112771,0.163244,15,2,0.674
118936519,0.554218,-0.098952,0.082568,9,4,0.570
118936523,0.570115,-0.101957,0.104477,11,9,0.590
118936532,0.659816,-0.118385,0.168420,15,2,0.694
118936574,0.546104,-0.099422,0.081316,9,6,0.562
118936578,0.573627,-0.104601,0.105241,11,6,0.594
118936588,0.629004,-0.115068,0.160138,15,2,0.662
118936629,0.555470,-0.103101,0.082881,9,6,0.572
118936634,0.555892,-0.103346,0.101806,11,9,0.576
118936638,0.513437,-0.095608,0.110874,13,2,0.536
118936643,0.647594,-0.120784,0.165315,15,2,0.682
118936684,0.555107,-0.105039,0.082881,9,6,0.572
118936689,0.559386,-0.106017,0.102569,11,11,0.580
118936698,0.601620,-0.114384,0.152891,15,2,0.634
118936740,0.543099,-0.104732,0.081003,9,6,0.560
118936744,0.547447,-0.105735,0.100280,11,11,0.568
118936754,0.623976,-0.120893,0.159103,15,2,0.658
118936795,0.554360,-0.108912,0.082881,9,6,0.572
118936800,0.566337,-0.111436,0.104096,11,11,0.588
118936804,0.512407,-0.100979,0.110874,13,2,0.536
118936809,0.623550,-0.123070,0.159103,15,2,0.658
118936851,0.552040,-0.110459,0.082568,9,6,0.570
118936856,0.554395,-0.111098,0.101806,11,11,0.576
118936860,0.550264,-0.110436,0.119872,13,2,0.576
118936865,0.581449,-0.116871,0.147715,15,2,0.614
118936907,0.557458,-0.113568,0.083506,9,6,0.576
118936911,0.548233,-0.111855,0.100661,11,11,0.570
118936920,0.622676,-0.127421,0.159103,15,2,0.658
118936962,0.560926,-0.116315,0.084132,9,6,0.580
118936966,0.542073,-0.112570,0.099516,11,13,0.564
118936971,0.564743,-0.117450,0.123471,13,2,0.592
118936976,0.599532,-0.124867,0.152891,15,2,0.634
118937017,0.568248,-0.119904,0.085383,9,6,0.588
118937022,0.537835,-0.113650,0.098753,11,14,0.560
118937026,0.606273,-0.128296,0.133369,13,2,0.636
118937031,0.655789,-0.138974,0.168420,15,2,0.694
118937072,0.548516,-0.117723,0.082255,9,6,0.568
118937077,0.537439,-0.115505,0.098753,11,14,0.560
118937082,0.579156,-0.124643,0.127070,13,2,0.608
118937086,0.598653,-0.129016,0.152891,15,2,0.634
118937128,0.532673,-0.116221,0.079752,9,6,0.552
118937132,0.548551,-0.119848,0.101043,11,13,0.572
118937137,0.563499,-0.123281,0.123471,13,2,0.592
118937142,0.643500,-0.140975,0.165315,15,2,0.682
118937183,0.539980,-0.119779,0.081003,9,6,0.560
118937188,0.542381,-0.120481,0.099898,11,15,0.566
118937192,0.578282,-0.128637,0.127070,13,2,0.608
