# time,X,Y,Z,id,intensity,distance
122418175,0.287126,0.425842,-0.074746,6,3,0.520
122418507,0.296045,0.419690,-0.074746,6,3,0.520
122420060,0.338612,0.392147,-0.058516,8,3,0.522
122420226,0.342722,0.388560,-0.058516,8,3,0.522
122420336,0.345381,0.386198,-0.058516,8,3,0.522
122421893,0.370707,0.340435,-0.024177,12,3,0.504
122422004,0.373046,0.337872,-0.024177,12,3,0.504
122422059,0.374223,0.336567,-0.024177,12,3,0.504
122422550,0.395331,0.334021,0.075372,9,1,0.524
122422661,0.397653,0.331253,0.075372,9,1,0.524
122422716,0.398807,0.329863,0.075372,9,1,0.524
122422771,0.399956,0.328469,0.075372,9,1,0.524
122422827,0.401100,0.327071,0.075372,9,1,0.524
122422829,0.404602,0.329829,-0.041970,10,4,0.524
122422882,0.402239,0.325669,0.075372,9,1,0.524
122422937,0.403374,0.324263,0.075372,9,1,0.524
122423048,0.405628,0.321439,0.075372,9,1,0.524
122423057,0.407983,0.322919,0.110424,13,2,0.534
122423103,0.406747,0.320021,0.075372,9,1,0.524
122423112,0.409107,0.321493,0.110424,13,2,0.534
122423333,0.413556,0.315749,0.110424,13,2,0.534
122423499,0.416840,0.311401,0.110424,13,2,0.534
122423773,0.408383,0.294183,-0.024177,12,3,0.504
122423776,0.422223,0.304062,0.110424,13,2,0.534
122424002,0.421222,0.294341,0.126492,15,2,0.532
122424112,0.423267,0.291393,0.126492,15,2,0.532
122424278,0.426295,0.286945,0.126492,15,2,0.532
122424333,0.427294,0.285455,0.126492,15,2,0.532
122424382,0.419363,0.278308,-0.024177,12,3,0.504
122424389,0.428288,0.283962,0.126492,15,2,0.532
122424437,0.420332,0.276842,-0.024177,12,3,0.504
122424444,0.429277,0.282465,0.126492,15,2,0.532
122424492,0.421295,0.275373,-0.024177,12,3,0.504
122424499,0.430260,0.280965,0.126492,15,2,0.532
122424547,0.422254,0.273901,-0.024177,12,3,0.504
122424610,0.432211,0.277954,0.126492,15,2,0.532
122424658,0.424156,0.270946,-0.024177,12,3,0.504
122424713,0.425099,0.269464,-0.024177,12,3,0.504
122424879,0.427898,0.264998,-0.024177,12,3,0.504
122424886,0.436996,0.270369,0.126492,15,2,0.532
122424935,0.428820,0.263502,-0.024177,12,3,0.504
122425045,0.430649,0.260502,-0.024177,12,3,0.504
122425218,0.442563,0.261158,0.126492,15,2,0.532
122425543,0.438619,0.246847,-0.024177,12,3,0.504
122425598,0.439478,0.245314,-0.024177,12,3,0.504
122425709,0.441180,0.242240,-0.024177,12,3,0.504
122425764,0.442023,0.240699,-0.024177,12,3,0.504
122425819,0.442861,0.239154,-0.024177,12,3,0.504
122425874,0.443693,0.237607,-0.024177,12,3,0.504
122425930,0.444519,0.236057,-0.024177,12,3,0.504
122425985,0.445341,0.234504,-0.024177,12,3,0.504
122426151,0.447802,0.229769,-0.024177,12,3,0.504
122426642,0.467539,0.221954,0.075372,9,1,0.524
122426810,0.473916,0.218846,-0.041970,10,4,0.524
122426920,0.475433,0.215532,-0.041970,10,4,0.524
122426985,0.467105,0.209468,-0.008236,14,3,0.512
122427250,0.475715,0.203843,0.075372,9,1,0.524
122427589,0.466751,0.188319,-0.024177,12,3,0.504
122427637,0.480530,0.192217,0.075372,9,1,0.524
122427644,0.467389,0.186729,-0.024177,12,3,0.504
122427699,0.468030,0.185117,-0.024177,12,3,0.504
122427747,0.481850,0.188884,0.075372,9,1,0.524
122427754,0.468673,0.183482,-0.024177,12,3,0.504
122427803,0.482507,0.187200,0.075372,9,1,0.524
122427810,0.469311,0.181845,-0.024177,12,3,0.504
122427858,0.483157,0.185515,0.075372,9,1,0.524
122428024,0.485073,0.180445,0.075372,9,1,0.524
122428079,0.485700,0.178751,0.075372,9,1,0.524
122428135,0.486321,0.177055,0.075372,9,1,0.524
122428192,0.491156,0.176795,-0.041970,10,4,0.524
122428245,0.487545,0.173655,0.075372,9,1,0.524
122428300,0.488149,0.171952,0.075372,9,1,0.524
122428307,0.474791,0.167014,-0.024177,12,3,0.504
122428356,0.488746,0.170247,0.075372,9,1,0.524
122428358,0.492980,0.171642,-0.041970,10,4,0.524
122428411,0.489337,0.168540,0.075372,9,1,0.524
122428467,0.489923,0.166831,0.075372,9,1,0.524
122428525,0.494751,0.166470,-0.041970,10,4,0.524
122428578,0.491065,0.163439,0.075372,9,1,0.524
122428633,0.491604,0.161809,0.075372,9,1,0.524
122428688,0.492153,0.160130,0.075372,9,1,0.524
122428700,0.479313,0.155557,-0.008096,14,3,0.504
122428744,0.492723,0.158368,0.075372,9,1,0.524
122428799,0.493276,0.156636,0.075372,9,1,0.524
122428854,0.493807,0.154957,0.075372,9,1,0.524
122428910,0.494341,0.153243,0.075372,9,1,0.524
122428921,0.477617,0.147668,-0.008026,14,7,0.500
122428960,0.516255,0.158182,0.061197,7,10,0.544
122428976,0.489618,0.149461,-0.008236,14,10,0.512
122429016,0.524414,0.158646,0.062172,7,10,0.552
122429020,0.476511,0.144003,0.072243,9,1,0.504
122429027,0.483765,0.145965,-0.024282,12,19,0.506
122429071,0.502140,0.149997,0.059247,7,10,0.528
122429080,0.511754,0.152544,0.095700,11,2,0.544
122429082,0.478530,0.142565,-0.023968,12,27,0.500
122429126,0.487425,0.143763,0.057297,7,22,0.512
122429135,0.504744,0.148560,0.094174,11,2,0.536
122429138,0.486682,0.143169,-0.024387,12,29,0.508
122429142,0.479642,0.140950,-0.008026,14,29,0.500
122429181,0.489817,0.142658,0.057541,7,22,0.514
122429191,0.478853,0.139171,0.088831,11,2,0.508
122429193,0.487167,0.141512,-0.024387,12,32,0.508
122429253,0.486372,0.139285,-0.008131,14,31,0.506
122429287,0.482987,0.137148,0.040226,5,13,0.504
122429292,0.477440,0.135419,0.055835,7,34,0.500
122429301,0.483602,0.136855,0.089594,11,2,0.512
122429304,0.482389,0.136434,-0.024073,12,32,0.502
122429357,0.476519,0.133032,0.088068,11,2,0.504
122429359,0.482869,0.134728,-0.024073,12,29,0.502
122429403,0.484122,0.133637,0.056566,7,22,0.506
122429412,0.488337,0.134495,0.090357,11,2,0.516
122429458,0.490332,0.133511,0.057297,7,22,0.512
122429463,0.476534,0.129605,0.071617,9,3,0.500
122429474,0.496006,0.134514,-0.008271,14,24,0.514
122429529,0.496472,0.132782,-0.008271,14,24,0.514
122429564,0.489166,0.129694,0.040575,5,4,0.508
122429569,0.495087,0.131114,0.057785,7,11,0.516
122429585,0.485325,0.128013,-0.008061,14,24,0.502
122429624,0.507054,0.132438,0.059247,7,10,0.528
122429640,0.485757,0.126361,-0.008061,14,24,0.502
122429679,0.484433,0.124770,0.056322,7,11,0.504
122429751,0.486606,0.123051,-0.008061,14,24,0.502
122429790,0.485314,0.121300,0.056322,7,11,0.504
122429806,0.487065,0.121224,-0.008061,14,24,0.502
122429845,0.481869,0.118698,0.055835,7,11,0.500
122429861,0.491359,0.120519,-0.008131,14,24,0.506
122430011,0.483081,0.113663,0.055835,7,11,0.500
122430121,0.499364,0.113743,0.057785,7,11,0.516
122430177,0.488135,0.109394,0.056322,7,22,0.504
122430232,0.496268,0.109399,0.057297,7,11,0.512
122430566,0.508198,0.100856,-0.058516,8,3,0.522
122430621,0.508538,0.099126,-0.058516,8,3,0.522
122431301,0.508128,0.076620,0.126492,15,2,0.532
122431412,0.508651,0.073071,0.126492,15,2,0.532
122431522,0.509148,0.069518,0.126492,15,2,0.532
122431577,0.509388,0.067741,0.126492,15,2,0.532
122431633,0.509621,0.065962,0.126492,15,2,0.532
122435047,0.515615,-0.044702,0.075372,9,1,0.524
122435052,0.500702,-0.043556,0.089594,11,2,0.512
122435061,0.511913,-0.044832,0.126492,15,2,0.532
122435102,0.515462,-0.046429,0.075372,9,1,0.524
122435107,0.559212,-0.050538,0.101043,11,2,0.572
122435116,0.592563,-0.053908,0.148233,15,2,0.616
122435158,0.538894,-0.050484,0.079126,9,1,0.548
122435162,0.598120,-0.056212,0.108675,11,2,0.612
122435171,0.626985,-0.059302,0.157550,15,2,0.652
122435213,0.538713,-0.052376,0.079126,9,1,0.548
122435217,0.578380,-0.056399,0.104859,11,2,0.592
122435227,0.607550,-0.059591,0.152374,15,2,0.632
122435268,0.569979,-0.057375,0.084132,9,1,0.580
122435273,0.617251,-0.062310,0.112491,11,2,0.632
122435277,0.517668,-0.052406,0.110424,13,2,0.534
122435282,0.645783,-0.065561,0.162726,15,2,0.672
122435323,0.581567,-0.060561,0.086009,9,1,0.592
122435328,0.597507,-0.062396,0.108675,11,2,0.612
122435337,0.645552,-0.067793,0.162726,15,2,0.672
122435379,0.553855,-0.059630,0.081629,9,1,0.564
122435383,0.624612,-0.067432,0.114018,11,2,0.640
122435393,0.702929,-0.076300,0.178256,15,1,0.732
122435434,0.553644,-0.061563,0.081629,9,3,0.564
122435439,0.608764,-0.067871,0.110965,11,2,0.624
122435448,0.645063,-0.072298,0.162726,15,2,0.672
122435489,0.557351,-0.063946,0.082255,9,1,0.568
122435494,0.592920,-0.068201,0.107912,11,2,0.608
122435503,0.644807,-0.074550,0.162726,15,2,0.672
122435545,0.564973,-0.066800,0.083506,9,3,0.576
122435549,0.573185,-0.067936,0.104096,11,2,0.588
122435558,0.656057,-0.078136,0.165832,15,2,0.684
122435600,0.568664,-0.069200,0.084132,9,3,0.580
122435605,0.569053,-0.069411,0.103332,11,2,0.584
122435614,0.651952,-0.079898,0.164797,15,2,0.680
122435655,0.546862,-0.068455,0.080690,9,3,0.558
122435660,0.592186,-0.074303,0.107912,11,2,0.608
122435669,0.663172,-0.083602,0.167903,15,2,0.692
122435710,0.558375,-0.071876,0.082568,9,3,0.570
122435715,0.595817,-0.076872,0.108675,11,4,0.612
122435724,0.662876,-0.085916,0.167903,15,2,0.692
122435766,0.571829,-0.075638,0.084758,9,3,0.584
122435770,0.576083,-0.076371,0.104859,11,4,0.592
122435780,0.643423,-0.085679,0.162726,15,2,0.672
122435821,0.567647,-0.077102,0.084132,9,4,0.580
122435826,0.571922,-0.077852,0.104096,11,4,0.588
122435835,0.627807,-0.085831,0.158585,15,2,0.656
122435876,0.561505,-0.078265,0.083193,9,3,0.574
122435881,0.556092,-0.077675,0.101043,11,4,0.572
122435890,0.627504,-0.088022,0.158585,15,2,0.656
122435932,0.563184,-0.080504,0.083506,9,4,0.576
122435936,0.579139,-0.082957,0.105622,11,6,0.596
122435946,0.642490,-0.092413,0.162726,15,2,0.672
122435987,0.551172,-0.080751,0.081629,9,3,0.564
122435992,0.584673,-0.085833,0.106767,11,6,0.602
122436001,0.584828,-0.086203,0.147197,15,2,0.612
122436042,0.554794,-0.083261,0.082255,9,4,0.568
122436047,0.568838,-0.085538,0.103714,11,6,0.586
122436056,0.626548,-0.094589,0.158585,15,2,0.656
122436098,0.570123,-0.087578,0.084758,9,4,0.584
122436102,0.572420,-0.088098,0.104477,11,6,0.590
122436111,0.649129,-0.100280,0.164797,15,2,0.680
