# time,X,Y,Z,id,intensity,distance
130018788,0.298043,0.410975,-0.073807,6,3,0.514
130020230,0.337081,0.385588,-0.057785,8,3,0.516
130020396,0.341145,0.381997,-0.057785,8,3,0.516
130021732,0.362715,0.343152,-0.023968,12,3,0.500
130021898,0.366288,0.339335,-0.023968,12,3,0.500
130021953,0.367470,0.338054,-0.023968,12,3,0.500
130022008,0.368619,0.336802,-0.023968,12,3,0.500
130022064,0.369763,0.335545,-0.023968,12,3,0.500
130022119,0.370903,0.334285,-0.023968,12,3,0.500
130022174,0.372169,0.332874,-0.023968,12,3,0.500
130022340,0.375591,0.329008,-0.023968,12,3,0.500
130022395,0.376723,0.327711,-0.023968,12,3,0.500
130022610,0.392034,0.331801,0.074746,9,1,0.520
130022720,0.394377,0.329013,0.074746,9,1,0.520
130022775,0.395495,0.327669,0.074746,9,1,0.520
130022831,0.396618,0.326308,0.074746,9,1,0.520
130022886,0.397755,0.324921,0.074746,9,1,0.520
130022941,0.398876,0.323544,0.074746,9,1,0.520
130022946,0.399570,0.323919,0.091884,11,2,0.524
130022997,0.399975,0.322185,0.074746,9,1,0.520
130023006,0.402353,0.323724,0.109524,13,2,0.530
130023052,0.401090,0.320795,0.074746,9,1,0.520
130023107,0.402235,0.319358,0.074746,9,1,0.520
130023273,0.405575,0.315106,0.074746,9,1,0.520
130023282,0.407984,0.316598,0.109524,13,2,0.530
130023338,0.409087,0.315172,0.109524,13,2,0.530
130023614,0.414564,0.307932,0.109524,13,2,0.530
130023674,0.412094,0.303746,0.125974,15,2,0.530
130023835,0.418785,0.302167,0.109524,13,2,0.530
130023950,0.417323,0.296521,0.125974,15,2,0.530
130024001,0.421926,0.297765,0.109524,13,2,0.530
130024006,0.418355,0.295063,0.125974,15,2,0.530
130024056,0.422963,0.296290,0.109524,13,2,0.530
130024061,0.419383,0.293601,0.125974,15,2,0.530
130024172,0.421438,0.290643,0.125974,15,2,0.530
130024227,0.422475,0.289133,0.125974,15,2,0.530
130024331,0.413902,0.279286,-0.023968,12,3,0.500
130024338,0.424493,0.286162,0.125974,15,2,0.530
130024386,0.414862,0.277857,-0.023968,12,3,0.500
130024393,0.425474,0.284702,0.125974,15,2,0.530
130024441,0.415805,0.276444,-0.023968,12,3,0.500
130024448,0.426440,0.283252,0.125974,15,2,0.530
130024496,0.416768,0.274990,-0.023968,12,3,0.500
130024503,0.427433,0.281753,0.125974,15,2,0.530
130024607,0.418713,0.272019,-0.023968,12,3,0.500
130024662,0.419660,0.270556,-0.023968,12,3,0.500
130024718,0.420602,0.269090,-0.023968,12,3,0.500
130024828,0.422424,0.266220,-0.023968,12,3,0.500
130024883,0.423351,0.264744,-0.023968,12,3,0.500
130024939,0.424272,0.263265,-0.023968,12,3,0.500
130024946,0.435118,0.269732,0.125974,15,2,0.530
130024994,0.425188,0.261782,-0.023968,12,3,0.500
130025160,0.427940,0.257259,-0.023968,12,3,0.500
130025215,0.428813,0.255802,-0.023968,12,3,0.500
130025492,0.433245,0.248222,-0.023968,12,3,0.500
130025593,0.446005,0.251756,-0.057785,8,3,0.516
130025879,0.439170,0.237582,-0.023968,12,3,0.500
130025989,0.440828,0.234491,-0.023968,12,3,0.500
130026100,0.442454,0.231408,-0.023968,12,3,0.500
130026155,0.443249,0.229881,-0.023968,12,3,0.500
130026201,0.455314,0.234502,-0.057785,8,3,0.516
130026210,0.444029,0.228371,-0.023968,12,3,0.500
130026266,0.444823,0.226820,-0.023968,12,3,0.500
130026314,0.458276,0.231875,0.074746,9,1,0.520
130026321,0.445632,0.225227,-0.023968,12,3,0.500
130026376,0.446425,0.223651,-0.023968,12,3,0.500
130026588,0.460926,0.223267,-0.057785,8,3,0.516
130026759,0.468606,0.220805,-0.041621,10,4,0.520
130026869,0.470147,0.217504,-0.041621,10,4,0.520
