# time,X,Y,Z,id,intensity,distance
127720521,0.345402,0.380836,-0.058028,8,3,0.518
127721355,0.369136,0.366269,-0.041795,10,4,0.522
127721802,0.365680,0.342916,-0.024073,12,3,0.502
127721912,0.368065,0.340355,-0.024073,12,3,0.502
127722078,0.371551,0.336547,-0.024073,12,3,0.502
127722133,0.372723,0.335248,-0.024073,12,3,0.502
127722354,0.377367,0.330011,-0.024073,12,3,0.502
127722624,0.393822,0.332746,0.075059,9,1,0.522
127722735,0.396135,0.329989,0.075059,9,1,0.522
127722790,0.397285,0.328604,0.075059,9,1,0.522
127722845,0.398429,0.327215,0.075059,9,1,0.522
127722900,0.399569,0.325823,0.075059,9,1,0.522
127722956,0.400704,0.324426,0.075059,9,1,0.522
127722958,0.404203,0.327161,-0.041795,10,4,0.522
127723011,0.401834,0.323025,0.075059,9,1,0.522
127723066,0.402959,0.321621,0.075059,9,1,0.522
127723071,0.402114,0.320755,0.091884,11,2,0.524
127723232,0.406305,0.317383,0.075059,9,1,0.522
127723352,0.410907,0.316003,0.109974,13,2,0.532
127723518,0.414193,0.311683,0.109974,13,2,0.532
127723573,0.415279,0.310235,0.109974,13,2,0.532
127723910,0.416597,0.297540,0.125974,15,2,0.530
127724131,0.420711,0.291694,0.125974,15,2,0.530
127724186,0.421727,0.290224,0.125974,15,2,0.530
127724352,0.424743,0.285792,0.125974,15,2,0.530
127724400,0.416777,0.278587,-0.024073,12,3,0.502
127724407,0.425738,0.284308,0.125974,15,2,0.530
127724518,0.427727,0.281305,0.125974,15,2,0.530
127724566,0.419707,0.274152,-0.024073,12,3,0.502
127724621,0.420662,0.272685,-0.024073,12,3,0.502
127724628,0.429699,0.278284,0.125974,15,2,0.530
127724677,0.421587,0.271252,-0.024073,12,3,0.502
127724732,0.422520,0.269797,-0.024073,12,3,0.502
127724787,0.423459,0.268321,-0.024073,12,3,0.502
127724898,0.425322,0.265358,-0.024073,12,3,0.502
127724954,0.426234,0.263890,-0.024073,12,3,0.502
127725009,0.427130,0.262438,-0.024073,12,3,0.502
127725120,0.428940,0.259469,-0.024073,12,3,0.502
127725175,0.429855,0.257951,-0.024073,12,3,0.502
127725182,0.439086,0.263224,0.125974,15,2,0.530
127726115,0.442616,0.231099,-0.023968,12,3,0.500
127726161,0.456447,0.236633,-0.058028,8,3,0.518
127726171,0.443420,0.229552,-0.023968,12,3,0.500
127726226,0.444218,0.228003,-0.023968,12,3,0.500
127726493,0.461348,0.226928,-0.058028,8,3,0.518
127726830,0.471404,0.219527,-0.041795,10,4,0.522
127726885,0.472130,0.217963,-0.041795,10,4,0.522
127726995,0.473618,0.214710,-0.041795,10,4,0.522
127727106,0.475131,0.211339,-0.041795,10,4,0.522
127727553,0.461855,0.189750,-0.023968,12,3,0.500
127727719,0.465559,0.185927,-0.024073,12,3,0.502
127727767,0.479385,0.189753,0.075059,9,1,0.522
127727774,0.466205,0.184301,-0.024073,12,3,0.502
127727829,0.466845,0.182673,-0.024073,12,3,0.502
127727885,0.467480,0.181042,-0.024073,12,3,0.502
127727995,0.468756,0.177713,-0.024073,12,3,0.502
127728044,0.482649,0.181290,0.075059,9,1,0.522
127728099,0.483263,0.179646,0.075059,9,1,0.522
127728209,0.484496,0.176294,0.075059,9,1,0.522
127728265,0.485108,0.174602,0.075059,9,1,0.522
127728272,0.471764,0.169566,-0.024073,12,3,0.502
127728320,0.485715,0.172907,0.075059,9,1,0.522
127728327,0.472353,0.167919,-0.024073,12,3,0.502
127728382,0.472936,0.166269,-0.024073,12,3,0.502
127728431,0.486910,0.169512,0.075059,9,1,0.522
127728433,0.491128,0.170901,-0.041795,10,4,0.522
127728541,0.488082,0.166109,0.075059,9,1,0.522
127728544,0.492310,0.167468,-0.041795,10,4,0.522
127728597,0.488653,0.164420,0.075059,9,1,0.522
127728652,0.489210,0.162756,0.075059,9,1,0.522
127728707,0.489766,0.161074,0.075059,9,1,0.522
127728762,0.490325,0.159364,0.075059,9,1,0.522
127728818,0.490879,0.157651,0.075059,9,1,0.522
127728873,0.491426,0.155937,0.075059,9,1,0.522
127728928,0.491967,0.154220,0.075059,9,1,0.522
127728935,0.476518,0.149149,-0.023968,12,6,0.500
127728984,0.492503,0.152502,0.075059,9,1,0.522
127728990,0.490393,0.151614,-0.024701,12,9,0.514
127729034,0.539070,0.165033,0.064122,7,10,0.568
127729046,0.477548,0.145819,-0.023968,12,10,0.500
127729050,0.481998,0.147024,-0.008096,14,10,0.504
127729090,0.524442,0.158555,0.062172,7,10,0.552
127729096,0.478754,0.144514,-0.040052,10,14,0.502
127729106,0.486338,0.146495,-0.008166,14,17,0.508
127729140,0.481061,0.143761,0.040226,5,4,0.504
127729152,0.477346,0.142273,-0.039878,10,20,0.500
