# time,X,Y,Z,id,intensity,distance
117518002,0.285735,0.429152,-0.075059,6,3,0.522
117518223,0.291699,0.425120,-0.075059,6,3,0.522
117521162,0.372407,0.371455,-0.042318,10,4,0.528
117521665,0.370354,0.346692,-0.024387,12,3,0.508
117521830,0.374024,0.342729,-0.024387,12,3,0.508
117521886,0.375218,0.341422,-0.024387,12,3,0.508
117521996,0.377503,0.338893,-0.024387,12,3,0.508
117522052,0.378625,0.337639,-0.024387,12,3,0.508
117522654,0.402181,0.331982,0.075997,9,1,0.528
117522709,0.403345,0.330567,0.075997,9,1,0.528
117522764,0.404467,0.329193,0.075997,9,1,0.528
117522767,0.407998,0.331970,-0.042318,10,4,0.528
117522820,0.405607,0.327788,0.075997,9,1,0.528
117522875,0.406777,0.326334,0.075997,9,1,0.528
117522877,0.410329,0.329084,-0.042318,10,4,0.528
117522930,0.407921,0.324904,0.075997,9,1,0.528
117523096,0.411294,0.320623,0.075997,9,1,0.528
117523271,0.415422,0.316517,0.110874,13,2,0.536
117523327,0.416497,0.315101,0.110874,13,2,0.536
117523492,0.419855,0.310612,0.110874,13,2,0.536
117523663,0.417902,0.302344,0.127009,15,2,0.534
117523714,0.424112,0.304774,0.110874,13,2,0.536
117523769,0.425173,0.303292,0.110874,13,2,0.536
117523884,0.422083,0.296480,0.127009,15,2,0.534
117523995,0.424142,0.293526,0.127009,15,2,0.534
117524161,0.427243,0.288994,0.127009,15,2,0.534
117524209,0.421068,0.282946,-0.024387,12,3,0.508
117524216,0.428249,0.287501,0.127009,15,2,0.534
117524271,0.429250,0.286004,0.127009,15,2,0.534
117524327,0.430246,0.284504,0.127009,15,2,0.534
117524375,0.424008,0.278521,-0.024387,12,3,0.508
117524492,0.433187,0.280006,0.127009,15,2,0.534
117524541,0.426866,0.274122,-0.024387,12,3,0.508
117524596,0.427820,0.272630,-0.024387,12,3,0.508
117524651,0.428793,0.271098,-0.024387,12,3,0.508
117524707,0.429760,0.269562,-0.024387,12,3,0.508
117524762,0.430722,0.268022,-0.024387,12,3,0.508
117524817,0.431620,0.266574,-0.024387,12,3,0.508
117524872,0.432548,0.265066,-0.024387,12,3,0.508
117524928,0.433447,0.263592,-0.024387,12,3,0.508
117525266,0.446271,0.258642,0.127009,15,2,0.534
117525481,0.442350,0.248362,-0.024387,12,3,0.508
117525702,0.445827,0.242064,-0.024387,12,3,0.508
117525803,0.458639,0.245251,-0.058760,8,3,0.524
117525812,0.447496,0.238966,-0.024387,12,3,0.508
117525923,0.449112,0.235914,-0.024387,12,3,0.508
117525978,0.449912,0.234384,-0.024387,12,3,0.508
117526034,0.450707,0.232852,-0.024387,12,3,0.508
117526080,0.462746,0.237411,-0.058760,8,3,0.524
117526144,0.452332,0.229680,-0.024387,12,3,0.508
117526199,0.453131,0.228099,-0.024387,12,3,0.508
117526255,0.453944,0.226477,-0.024387,12,3,0.508
117526693,0.475156,0.220909,-0.042144,10,4,0.526
117526745,0.473641,0.218233,0.075997,9,1,0.528
117526748,0.475944,0.219207,-0.042144,10,4,0.526
117526803,0.476709,0.217538,-0.042144,10,4,0.526
117526978,0.457074,0.202503,-0.008026,14,3,0.500
117527298,0.480969,0.201570,0.075997,9,1,0.528
117527365,0.472987,0.195825,-0.008236,14,3,0.512
117527520,0.483713,0.194893,0.075997,9,1,0.528
117527526,0.470629,0.189382,-0.024387,12,3,0.508
117527582,0.471287,0.187738,-0.024387,12,3,0.508
117527630,0.485062,0.191511,0.075997,9,1,0.528
117527637,0.471939,0.186092,-0.024387,12,3,0.508
117527692,0.472578,0.184464,-0.024387,12,3,0.508
117527748,0.473203,0.182855,-0.024387,12,3,0.508
117527796,0.487014,0.186490,0.075997,9,1,0.528
117527808,0.474471,0.181282,-0.008166,14,3,0.508
117527914,0.475115,0.177827,-0.024387,12,3,0.508
117527962,0.488966,0.181311,0.075997,9,1,0.528
117528017,0.489596,0.179603,0.075997,9,1,0.528
117528128,0.490838,0.176181,0.075997,9,1,0.528
117528183,0.491450,0.174466,0.075997,9,1,0.528
117528238,0.492056,0.172750,0.075997,9,1,0.528
117528294,0.492656,0.171031,0.075997,9,1,0.528
117528296,0.496924,0.172432,-0.042318,10,4,0.528
117528349,0.493250,0.169310,0.075997,9,1,0.528
117528351,0.497523,0.170696,-0.042318,10,4,0.528
117528360,0.503231,0.172327,-0.008585,14,3,0.532
117528404,0.493838,0.167587,0.075997,9,1,0.528
117528460,0.494415,0.165879,0.075997,9,1,0.528
117528462,0.498697,0.167237,-0.042318,10,4,0.528
117528471,0.481657,0.161219,-0.008166,14,3,0.508
117528515,0.494976,0.164195,0.075997,9,1,0.528
117528570,0.495538,0.162493,0.075997,9,1,0.528
117528572,0.477110,0.156374,-0.040226,10,4,0.504
117528625,0.496102,0.160763,0.075997,9,1,0.528
117528632,0.482666,0.156176,-0.024387,12,3,0.508
117528681,0.496660,0.159030,0.075997,9,1,0.528
117528736,0.497212,0.157295,0.075997,9,1,0.528
117528791,0.497748,0.155591,0.075997,9,1,0.528
117528798,0.482355,0.150560,-0.024282,12,6,0.506
117528847,0.475613,0.146943,0.072243,9,1,0.504
117528902,0.483664,0.147640,0.073494,9,1,0.512
117528913,0.483988,0.147355,-0.008131,14,10,0.506
117528953,0.490316,0.147957,0.057785,7,11,0.516
117528964,0.480042,0.144476,-0.024073,12,22,0.502
117529008,0.502252,0.149620,0.059247,7,10,0.528
117529017,0.485526,0.144315,0.090357,11,2,0.516
117529019,0.486300,0.144464,-0.024387,12,29,0.508
117529063,0.481847,0.141621,0.056566,7,22,0.506
117529072,0.486052,0.142534,0.090357,11,2,0.516
117529075,0.488742,0.143242,-0.024491,12,29,0.510
117529130,0.487333,0.140938,-0.024387,12,32,0.508
117529174,0.477116,0.136555,0.055835,7,34,0.500
117529185,0.485902,0.138688,-0.024282,12,32,0.506
117529190,0.486535,0.138715,-0.008131,14,31,0.506
117529236,0.479404,0.135176,-0.039878,10,30,0.500
117529238,0.502648,0.141651,0.093410,11,2,0.532
117529294,0.495573,0.137792,0.091884,11,2,0.524
117529296,0.483009,0.134223,-0.024073,12,29,0.502
117529300,0.483638,0.134246,-0.008061,14,24,0.502
117529340,0.495739,0.136313,0.058028,7,22,0.518
117529351,0.489242,0.134163,-0.024387,12,26,0.508
117529356,0.487947,0.133663,-0.008131,14,24,0.506
117529395,0.482778,0.131028,0.056322,7,11,0.504
117529404,0.473749,0.128297,0.087304,11,5,0.500
117529411,0.484527,0.131000,-0.008061,14,24,0.502
117529466,0.500429,0.133466,-0.008340,14,24,0.518
117529505,0.499020,0.131769,0.058272,7,10,0.520
117529512,0.483573,0.127464,-0.040052,10,34,0.502
117529515,0.482215,0.127032,0.088831,11,5,0.508
117529522,0.489288,0.128667,-0.008131,14,24,0.506
117529561,0.526372,0.137028,0.061684,7,10,0.548
117529570,0.475055,0.123374,0.087304,11,5,0.500
117529616,0.507619,0.130256,0.059247,7,10,0.528
117529628,0.483736,0.123752,-0.023968,12,27,0.500
117529671,0.496530,0.125538,0.057785,7,11,0.516
117529687,0.486743,0.122510,-0.008061,14,24,0.502
117529727,0.489281,0.121799,0.056810,7,11,0.508
117529743,0.487189,0.120725,-0.008061,14,24,0.502
117529782,0.482006,0.118139,0.055835,7,11,0.500
117529837,0.486275,0.117388,0.056322,7,11,0.504
117529893,0.502126,0.119388,0.058272,7,10,0.520
117529948,0.487057,0.114100,0.056322,7,11,0.504
117531238,0.510105,0.076463,0.127009,15,2,0.534
117531349,0.510627,0.072900,0.127009,15,2,0.534
117531404,0.510878,0.071117,0.127009,15,2,0.534
117531459,0.511123,0.069334,0.127009,15,2,0.534
117531625,0.511830,0.063905,0.127009,15,2,0.534
117531680,0.512046,0.062157,0.127009,15,2,0.534
117534985,0.499833,-0.043774,0.072869,9,1,0.508
117534990,0.535867,-0.047086,0.096463,11,2,0.548
117534999,0.544588,-0.048172,0.135292,15,2,0.566
117535040,0.531152,-0.048385,0.077875,9,1,0.540
117535045,0.563071,-0.051458,0.101806,11,2,0.576
117535049,0.520081,-0.047682,0.110874,13,2,0.536
117535054,0.567501,-0.052196,0.141503,15,2,0.590
117535096,0.554581,-0.052454,0.081629,9,1,0.564
117535100,0.562890,-0.053401,0.101806,11,2,0.576
117535105,0.519914,-0.049473,0.110874,13,2,0.536
117535109,0.544241,-0.051943,0.135292,15,2,0.566
117535151,0.538672,-0.052799,0.079126,9,1,0.548
117535155,0.562705,-0.055316,0.101806,11,2,0.576
117535160,0.519742,-0.051242,0.110874,13,2,0.536
117535165,0.590200,-0.058357,0.147715,15,2,0.614
117535206,0.546346,-0.055466,0.080378,9,1,0.556
117535211,0.582040,-0.059265,0.105622,11,2,0.596
117535215,0.519560,-0.053059,0.110874,13,2,0.536
117535220,0.609210,-0.062398,0.152891,15,2,0.634
117535261,0.585435,-0.061551,0.086635,9,1,0.596
117535266,0.581825,-0.061347,0.105622,11,2,0.596
117535275,0.666615,-0.070689,0.168420,15,2,0.694
117535317,0.553791,-0.060228,0.081629,9,1,0.564
117535321,0.593311,-0.064705,0.107912,11,2,0.608
117535326,0.519167,-0.056776,0.110874,13,2,0.536
117535331,0.631792,-0.069283,0.159103,15,2,0.658
117535372,0.561424,-0.063092,0.082881,9,1,0.572
117535377,0.589174,-0.066388,0.107149,11,2,0.604
117535381,0.615782,-0.069572,0.133369,13,2,0.636
117535386,0.631540,-0.071543,0.159103,15,2,0.658
117535427,0.557286,-0.064511,0.082255,9,3,0.568
117535432,0.608452,-0.070609,0.110965,11,2,0.624
117535441,0.631301,-0.073623,0.159103,15,2,0.658
117535483,0.568832,-0.067810,0.084132,9,3,0.580
117535487,0.596512,-0.071282,0.108675,11,2,0.612
117535496,0.646391,-0.077614,0.163244,15,2,0.674
117535538,0.566635,-0.069524,0.083819,9,3,0.578
117535542,0.592366,-0.072856,0.107912,11,4,0.608
117535552,0.630781,-0.077953,0.159103,15,2,0.658
117535593,0.564429,-0.071254,0.083506,9,3,0.576
117535598,0.592108,-0.074923,0.107912,11,4,0.608
117535607,0.653502,-0.083078,0.165315,15,2,0.682
117535648,0.562218,-0.072969,0.083193,9,3,0.574
117535653,0.599630,-0.078003,0.109438,11,4,0.616
117535662,0.645546,-0.084357,0.163244,15,2,0.674
117535704,0.554127,-0.073887,0.081942,9,3,0.566
117535708,0.572111,-0.076454,0.104096,11,4,0.588
117535718,0.629930,-0.084554,0.159103,15,2,0.658
117535759,0.577354,-0.079017,0.085696,9,3,0.590
117535764,0.560173,-0.076828,0.101806,11,4,0.576
117535773,0.629636,-0.086718,0.159103,15,2,0.658
117535814,0.582950,-0.081805,0.086635,9,3,0.596
117535819,0.583238,-0.082014,0.106385,11,6,0.600
117535828,0.625511,-0.088320,0.158068,15,2,0.654
117535870,0.565069,-0.081277,0.083819,9,4,0.578
117535874,0.575180,-0.082902,0.104859,11,6,0.592
117535883,0.625202,-0.090483,0.158068,15,2,0.654
117535925,0.562827,-0.082961,0.083506,9,4,0.576
117535930,0.586540,-0.086630,0.107149,11,6,0.604
117535939,0.605773,-0.089831,0.152891,15,2,0.634
117535980,0.560584,-0.084611,0.083193,9,4,0.574
117535985,0.572649,-0.086599,0.104477,11,6,0.590
117535994,0.628380,-0.095391,0.159103,15,2,0.658
117536035,0.552484,-0.085313,0.081942,9,4,0.566
117536040,0.568471,-0.087947,0.103714,11,6,0.586
117536049,0.628052,-0.097529,0.159103,15,2,0.658
117536091,0.552184,-0.087229,0.081942,9,4,0.566
117536095,0.560404,-0.088699,0.102188,11,6,0.578
117536105,0.650600,-0.103372,0.165315,15,2,0.682
117536146,0.559669,-0.090465,0.083193,9,6,0.574
117536151,0.560084,-0.090703,0.102188,11,6,0.578
117536160,0.699804,-0.113759,0.178773,15,1,0.734
117536201,0.567140,-0.093737,0.084445,9,4,0.582
117536206,0.573317,-0.094929,0.104859,11,6,0.592
117536215,0.649850,-0.107990,0.165315,15,2,0.682
117536257,0.566810,-0.095716,0.084445,9,4,0.582
117536261,0.557496,-0.094310,0.101806,11,6,0.576
117536271,0.698989,-0.118664,0.178773,15,1,0.734
117536312,0.562585,-0.096986,0.083819,9,6,0.578
117536317,0.564910,-0.097547,0.103332,11,6,0.584
117536326,0.649092,-0.112453,0.165315,15,2,0.682
117536367,0.566152,-0.099535,0.084445,9,6,0.582
117536372,0.549115,-0.096696,0.100280,11,6,0.568
117536381,0.576425,-0.101834,0.145644,15,2,0.606
117536423,0.546365,-0.097980,0.081316,9,4,0.562
117536427,0.558442,-0.100318,0.102188,11,6,0.578
117536436,0.602684,-0.108637,0.152891,15,2,0.634
117536478,0.551840,-0.101002,0.082255,9,6,0.568
117536482,0.567734,-0.104086,0.104096,11,9,0.588
117536492,0.628891,-0.115686,0.160138,15,2,0.662
117536533,0.559246,-0.104407,0.083506,9,6,0.576
117536538,0.563503,-0.105372,0.103332,11,9,0.584
117536547,0.601897,-0.112914,0.152891,15,2,0.634
117536588,0.558878,-0.106359,0.083506,9,6,0.576
117536593,0.547703,-0.104397,0.100280,11,9,0.568
117536598,0.581908,-0.111093,0.127070,13,2,0.608
117536602,0.601500,-0.115014,0.152891,15,2,0.634
117536644,0.566260,-0.109813,0.084758,9,7,0.584
117536648,0.543481,-0.105560,0.099516,11,11,0.564
117536653,0.608297,-0.118333,0.133369,13,2,0.636
117536658,0.646603,-0.125980,0.165315,15,2,0.682
117536699,0.546494,-0.107961,0.081629,9,6,0.564
117536704,0.558517,-0.110505,0.102569,11,11,0.580
117536713,0.623421,-0.123723,0.159103,15,2,0.658
117536754,0.549975,-0.110707,0.082255,9,6,0.568
117536759,0.558117,-0.112507,0.102569,11,13,0.580
117536763,0.580703,-0.117226,0.127070,13,2,0.608
117536768,0.622977,-0.125940,0.159103,15,2,0.658
117536810,0.547670,-0.112134,0.081942,9,7,0.566
117536814,0.557741,-0.114357,0.102569,11,13,0.580
117536819,0.511590,-0.105041,0.110874,13,2,0.536
117536823,0.622556,-0.128005,0.159103,15,2,0.658
117536865,0.537618,-0.111972,0.080378,9,6,0.556
117536869,0.536208,-0.111841,0.098371,11,14,0.558
117536874,0.511229,-0.106786,0.110874,13,2,0.536
117536879,0.580513,-0.121434,0.147715,15,2,0.614
117536920,0.552684,-0.117124,0.082881,9,7,0.572
117536925,0.543497,-0.115342,0.099898,11,13,0.566
117536929,0.579475,-0.123154,0.127070,13,2,0.608
117536934,0.655667,-0.139546,0.168420,15,2,0.694
117536975,0.544547,-0.117387,0.081629,9,6,0.564
117536980,0.546929,-0.118067,0.100661,11,13,0.570
117536985,0.563804,-0.121881,0.123471,13,2,0.592
117536989,0.621190,-0.134476,0.159103,15,2,0.658
117537031,0.547993,-0.120133,0.082255,9,6,0.568
117537035,0.550349,-0.120817,0.101424,11,13,0.574
117537045,0.598077,-0.131660,0.152891,15,2,0.634
117537086,0.536006,-0.119449,0.080378,9,6,0.556
