# time,X,Y,Z,id,intensity,distance
123120385,0.342039,0.386514,-0.058272,8,3,0.520
123121384,0.369825,0.368402,-0.041970,10,4,0.524
123121942,0.368875,0.342420,-0.024177,12,3,0.504
123121997,0.370053,0.341146,-0.024177,12,3,0.504
123122053,0.371212,0.339885,-0.024177,12,3,0.504
123122108,0.372381,0.338603,-0.024177,12,3,0.504
123122709,0.395855,0.333400,0.075372,9,1,0.524
123122764,0.397016,0.332016,0.075372,9,1,0.524
123122875,0.399325,0.329236,0.075372,9,1,0.524
123122930,0.400471,0.327840,0.075372,9,1,0.524
123122986,0.401613,0.326440,0.075372,9,1,0.524
123122988,0.405120,0.329193,-0.041970,10,4,0.524
123123041,0.402750,0.325037,0.075372,9,1,0.524
123123046,0.391204,0.315530,0.089594,11,2,0.512
123123096,0.403882,0.323629,0.075372,9,1,0.524
123123151,0.405010,0.322217,0.075372,9,1,0.524
123123207,0.406132,0.320801,0.075372,9,1,0.524
123123373,0.409469,0.316531,0.075372,9,1,0.524
123123382,0.411842,0.317982,0.110424,13,2,0.534
123123437,0.412949,0.316543,0.110424,13,2,0.534
123123548,0.415164,0.313632,0.110424,13,2,0.534
123123552,0.410117,0.309628,0.126492,15,2,0.532
123123658,0.417383,0.310673,0.110424,13,2,0.534
123123829,0.415494,0.302373,0.126492,15,2,0.532
123123990,0.423783,0.301884,0.110424,13,2,0.534
123124050,0.419633,0.296602,0.126492,15,2,0.532
123124105,0.420673,0.295126,0.126492,15,2,0.532
123124216,0.422758,0.292131,0.126492,15,2,0.532
123124271,0.423775,0.290654,0.126492,15,2,0.532
123124326,0.424787,0.289173,0.126492,15,2,0.532
123124382,0.425794,0.287688,0.126492,15,2,0.532
123124437,0.426780,0.286224,0.126492,15,2,0.532
123124485,0.418840,0.279094,-0.024177,12,3,0.504
123124596,0.420802,0.276126,-0.024177,12,3,0.504
123124603,0.429760,0.281729,0.126492,15,2,0.532
123124707,0.422732,0.273163,-0.024177,12,3,0.504
123124714,0.431725,0.278708,0.126492,15,2,0.532
123124762,0.423683,0.271686,-0.024177,12,3,0.504
123124769,0.432696,0.277199,0.126492,15,2,0.532
123124817,0.424628,0.270206,-0.024177,12,3,0.504
123124872,0.425569,0.268722,-0.024177,12,3,0.504
123124928,0.426504,0.267235,-0.024177,12,3,0.504
123124983,0.427423,0.265763,-0.024177,12,3,0.504
123125038,0.428325,0.264307,-0.024177,12,3,0.504
123125149,0.430114,0.261385,-0.024177,12,3,0.504
123125204,0.431092,0.259769,-0.024177,12,3,0.504
123125259,0.431974,0.258300,-0.024177,12,3,0.504
123125315,0.432861,0.256810,-0.024177,12,3,0.504
123125868,0.441571,0.241528,-0.024177,12,3,0.504
123125923,0.442432,0.239946,-0.024177,12,3,0.504
123126089,0.444931,0.235280,-0.024177,12,3,0.504
123126144,0.445749,0.233726,-0.024177,12,3,0.504
123126199,0.446552,0.232188,-0.024177,12,3,0.504
123126255,0.447340,0.230667,-0.024177,12,3,0.504
123126310,0.448142,0.229104,-0.024177,12,3,0.504
123126801,0.467938,0.221112,0.075372,9,1,0.524
123126803,0.472000,0.222950,-0.041970,10,4,0.524
123126858,0.472764,0.221325,-0.041970,10,4,0.524
123126969,0.474297,0.218019,-0.041970,10,4,0.524
123127077,0.471707,0.212953,0.075372,9,1,0.524
123127135,0.476528,0.213099,-0.041970,10,4,0.524
123127692,0.466430,0.189113,-0.024177,12,3,0.504
123127748,0.467087,0.187484,-0.024177,12,3,0.504
123127803,0.467738,0.185852,-0.024177,12,3,0.504
123127851,0.481520,0.189724,0.075372,9,1,0.524
123127858,0.468352,0.184300,-0.024177,12,3,0.504
123127907,0.482179,0.188042,0.075372,9,1,0.524
123127913,0.468993,0.182664,-0.024177,12,3,0.504
123127969,0.469627,0.181026,-0.024177,12,3,0.504
123128135,0.471497,0.176098,-0.024177,12,3,0.504
