# time,X,Y,Z,id,intensity,distance
129518247,0.286115,0.421757,-0.074120,6,3,0.516
129518303,0.287640,0.420718,-0.074120,6,3,0.516
129520187,0.338500,0.386984,-0.058028,8,3,0.518
129520353,0.342534,0.383418,-0.058028,8,3,0.518
129522242,0.374441,0.330317,-0.023968,12,3,0.500
129522353,0.376766,0.327662,-0.023968,12,3,0.500
129522512,0.392425,0.334393,0.075059,9,1,0.522
129522567,0.393589,0.333021,0.075059,9,1,0.522
129522622,0.394750,0.331645,0.075059,9,1,0.522
129522733,0.397044,0.328894,0.075059,9,1,0.522
129522844,0.399285,0.326171,0.075059,9,1,0.522
129522846,0.401228,0.327661,-0.041621,10,4,0.520
129522899,0.400421,0.324775,0.075059,9,1,0.522
129522954,0.401563,0.323363,0.075059,9,1,0.522
129522956,0.403518,0.324838,-0.041621,10,4,0.520
129523009,0.402717,0.321924,0.075059,9,1,0.522
129523065,0.403866,0.320481,0.075059,9,1,0.522
129523120,0.405010,0.319034,0.075059,9,1,0.522
129523129,0.405863,0.319313,0.109524,13,2,0.530
129523235,0.418699,0.325076,0.094937,11,2,0.540
129523290,0.419816,0.323633,0.094937,11,2,0.540
129523521,0.410007,0.306557,0.125974,15,2,0.530
129523572,0.414579,0.307912,0.109524,13,2,0.530
129523737,0.417781,0.303554,0.109524,13,2,0.530
129523742,0.414247,0.300803,0.125974,15,2,0.530
129523853,0.416337,0.297903,0.125974,15,2,0.530
129524074,0.420472,0.292038,0.125974,15,2,0.530
129524240,0.423501,0.287629,0.125974,15,2,0.530
129524350,0.425489,0.284679,0.125974,15,2,0.530
129524509,0.417761,0.273479,-0.023968,12,3,0.500
129524516,0.428447,0.280208,0.125974,15,2,0.530
129524675,0.420567,0.269145,-0.023968,12,3,0.500
129524730,0.421492,0.267693,-0.023968,12,3,0.500
129524793,0.433225,0.272763,0.125974,15,2,0.530
129524848,0.434189,0.271226,0.125974,15,2,0.530
129524952,0.425234,0.261708,-0.023968,12,3,0.500
129524958,0.436104,0.268136,0.125974,15,2,0.530
129525117,0.427918,0.257297,-0.023968,12,3,0.500
129525283,0.430578,0.252820,-0.023968,12,3,0.500
129525329,0.444116,0.259036,-0.058028,8,3,0.518
129525836,0.439149,0.237620,-0.023968,12,3,0.500
129526002,0.441613,0.233009,-0.023968,12,3,0.500
129526113,0.443249,0.229881,-0.023968,12,3,0.500
129526168,0.444059,0.228313,-0.023968,12,3,0.500
129526223,0.444853,0.226762,-0.023968,12,3,0.500
129526993,0.472399,0.212569,-0.041621,10,4,0.520
129527002,0.461487,0.207336,-0.008131,14,3,0.506
129527048,0.473138,0.210918,-0.041621,10,4,0.520
129527101,0.471602,0.208345,0.075059,9,1,0.522
129527279,0.461324,0.197756,-0.008061,14,3,0.502
129527662,0.463542,0.185591,-0.023968,12,3,0.500
129527710,0.479213,0.190187,0.075059,9,1,0.522
129527717,0.464179,0.183992,-0.023968,12,3,0.500
129527821,0.480502,0.186905,0.075059,9,1,0.522
129527883,0.466057,0.179182,-0.023968,12,3,0.500
129527938,0.466679,0.177555,-0.023968,12,3,0.500
129527943,0.472908,0.179767,-0.008131,14,3,0.506
129527987,0.480585,0.181167,0.074746,9,1,0.520
129527994,0.467296,0.175924,-0.023968,12,3,0.500
129528097,0.481838,0.177807,0.074746,9,1,0.520
129528153,0.482461,0.176108,0.074746,9,1,0.520
129528215,0.469729,0.169321,-0.023968,12,3,0.500
129528265,0.487894,0.174083,-0.041621,10,4,0.520
129528318,0.484303,0.170978,0.074746,9,1,0.520
129528321,0.488499,0.172379,-0.041621,10,4,0.520
129528325,0.470907,0.166017,-0.023968,12,3,0.500
129528330,0.477188,0.168076,-0.008131,14,3,0.506
129528374,0.484897,0.169286,0.074746,9,1,0.520
129528484,0.486038,0.165982,0.074746,9,1,0.520
129528487,0.490248,0.167340,-0.041621,10,4,0.520
129528491,0.472592,0.161159,-0.023968,12,3,0.500
129528540,0.486614,0.164284,0.074746,9,1,0.520
129528542,0.490829,0.165628,-0.041621,10,4,0.520
129528595,0.487180,0.162600,0.074746,9,1,0.520
129528602,0.473698,0.157877,-0.023968,12,3,0.500
129528650,0.487730,0.160941,0.074746,9,1,0.520
129528662,0.488152,0.160697,-0.008271,14,3,0.514
129528705,0.488280,0.159265,0.074746,9,1,0.520
129528761,0.488833,0.157559,0.074746,9,1,0.520
129528816,0.489375,0.155868,0.074746,9,1,0.520
129528871,0.489903,0.154201,0.074746,9,1,0.520
129528927,0.490435,0.152501,0.074746,9,1,0.520
129528973,0.500828,0.154097,0.042144,5,4,0.526
129528977,0.510424,0.156883,0.060466,7,10,0.538
