# time,X,Y,Z,id,intensity,distance
125018358,0.289931,0.417726,-0.090739,4,2,0.518
125020191,0.341296,0.387170,-0.058272,8,3,0.520
125020247,0.342646,0.385976,-0.058272,8,3,0.520
125020358,0.345354,0.383555,-0.058272,8,3,0.520
125021916,0.371790,0.339253,-0.024177,12,3,0.504
125022026,0.374149,0.336649,-0.024177,12,3,0.504
125022192,0.377654,0.332713,-0.024177,12,3,0.504
125022628,0.397527,0.331405,0.075372,9,1,0.524
125022683,0.398652,0.330050,0.075372,9,1,0.524
125022793,0.400929,0.327281,0.075372,9,1,0.524
125022849,0.402069,0.325879,0.075372,9,1,0.524
125022904,0.403204,0.324474,0.075372,9,1,0.524
125023015,0.405554,0.321532,0.075372,9,1,0.524
125023070,0.406681,0.320105,0.075372,9,1,0.524
125023134,0.408592,0.318990,0.109974,13,2,0.532
125023236,0.409966,0.315887,0.075372,9,1,0.524
125023581,0.413852,0.304617,0.126492,15,2,0.532
125023747,0.417019,0.300266,0.126492,15,2,0.532
125023913,0.420141,0.295883,0.126492,15,2,0.532
125024134,0.424231,0.289988,0.126492,15,2,0.532
125024238,0.417361,0.281301,-0.024177,12,3,0.504
125024245,0.426245,0.287019,0.126492,15,2,0.532
125024293,0.418340,0.279843,-0.024177,12,3,0.504
125024300,0.427244,0.285530,0.126492,15,2,0.532
125024404,0.420283,0.276915,-0.024177,12,3,0.504
125024459,0.421247,0.275447,-0.024177,12,3,0.504
125024514,0.422206,0.273975,-0.024177,12,3,0.504
125024570,0.423160,0.272499,-0.024177,12,3,0.504
125024625,0.424109,0.271020,-0.024177,12,3,0.504
125024632,0.433130,0.276519,0.126492,15,2,0.532
125024680,0.425052,0.269538,-0.024177,12,3,0.504
125024687,0.434093,0.275006,0.126492,15,2,0.532
125024736,0.425990,0.268053,-0.024177,12,3,0.504
125024846,0.427851,0.265072,-0.024177,12,3,0.504
125024901,0.428774,0.263577,-0.024177,12,3,0.504
125025351,0.445139,0.256742,0.126492,15,2,0.532
125025454,0.437690,0.248491,-0.024177,12,3,0.504
125025675,0.441138,0.242317,-0.024177,12,3,0.504
125025952,0.445259,0.234659,-0.024177,12,3,0.504
125026007,0.446075,0.233103,-0.024177,12,3,0.504
125026063,0.446876,0.231564,-0.024177,12,3,0.504
125026440,0.463810,0.226416,-0.058272,8,3,0.520
125026721,0.471259,0.219839,-0.041795,10,4,0.522
125026832,0.472744,0.216626,-0.041795,10,4,0.522
125026887,0.473479,0.215016,-0.041795,10,4,0.522
125026940,0.471981,0.212346,0.075372,9,1,0.524
125027051,0.473481,0.208978,0.075372,9,1,0.524
125027173,0.464407,0.200710,-0.008131,14,3,0.506
125027339,0.466483,0.195836,-0.008131,14,3,0.506
125027611,0.467348,0.186831,-0.024177,12,3,0.504
125027666,0.467997,0.185199,-0.024177,12,3,0.504
125027721,0.468641,0.183564,-0.024177,12,3,0.504
125027770,0.482474,0.187285,0.075372,9,1,0.524
125027777,0.469279,0.181927,-0.024177,12,3,0.504
125027825,0.483113,0.185631,0.075372,9,1,0.524
125027832,0.469895,0.180329,-0.024177,12,3,0.504
125027887,0.470491,0.178770,-0.024177,12,3,0.504
125027991,0.485022,0.180583,0.075372,9,1,0.524
125028046,0.485669,0.178836,0.075372,9,1,0.524
125028212,0.487515,0.173740,0.075372,9,1,0.524
125028274,0.474762,0.167097,-0.024177,12,3,0.504
125028329,0.497978,0.173317,-0.025433,12,3,0.528
125028380,0.491663,0.169357,-0.041795,10,4,0.522
125028389,0.474654,0.163189,-0.008061,14,3,0.502
125028433,0.489893,0.166916,0.075372,9,1,0.524
125028435,0.492251,0.167640,-0.041795,10,4,0.522
125028445,0.475221,0.161532,-0.008061,14,3,0.502
125028488,0.490468,0.165221,0.075372,9,1,0.524
125028544,0.491027,0.163551,0.075372,9,1,0.524
125028599,0.491586,0.161863,0.075372,9,1,0.524
125028654,0.492148,0.160146,0.075372,9,1,0.524
125028710,0.492704,0.158427,0.075372,9,1,0.524
125028717,0.490625,0.157523,-0.024805,12,3,0.516
125028765,0.493254,0.156706,0.075372,9,1,0.524
125028820,0.493793,0.155000,0.075372,9,1,0.524
125028875,0.494318,0.153318,0.075372,9,1,0.524
125028882,0.480781,0.148896,-0.024177,12,6,0.504
125028942,0.481921,0.147277,-0.008096,14,10,0.504
125028977,0.490013,0.148582,0.041098,5,4,0.514
125028981,0.484462,0.146744,0.057053,7,11,0.510
125028986,0.487805,0.147602,0.074120,9,1,0.516
125028998,0.488176,0.147327,-0.008201,14,14,0.510
125029032,0.501981,0.150299,0.042144,5,4,0.526
125029037,0.507793,0.151878,0.059978,7,10,0.534
125029046,0.509819,0.152161,0.095318,11,2,0.542
125029053,0.479105,0.142767,-0.008026,14,21,0.500
125029092,0.500705,0.147856,0.059003,7,10,0.526
125029101,0.517880,0.152600,0.096845,11,2,0.550
125029104,0.484723,0.142754,-0.024282,12,29,0.506
125029147,0.484066,0.141108,0.056810,7,22,0.508
125029157,0.488247,0.142018,0.090739,11,2,0.518
125029159,0.492890,0.143291,-0.024701,12,29,0.514
125029163,0.480090,0.139418,-0.008026,14,32,0.500
125029212,0.488740,0.140313,0.090739,11,2,0.518
125029214,0.487627,0.139917,-0.024387,12,32,0.508
125029269,0.482342,0.136603,-0.024073,12,29,0.502
125029274,0.482969,0.136632,-0.008061,14,31,0.502
125029322,0.485909,0.135903,0.089976,11,2,0.514
125029325,0.482804,0.134960,-0.024073,12,29,0.502
125029369,0.485965,0.134420,0.056810,7,22,0.508
125029378,0.505299,0.139451,0.093792,11,2,0.534
125029380,0.485191,0.133826,-0.024177,12,26,0.504
125029385,0.489678,0.134910,-0.008166,14,24,0.508
125029424,0.490262,0.133768,0.057297,7,22,0.512
125029435,0.489510,0.133180,-0.024387,12,26,0.508
125029440,0.482427,0.131103,-0.008026,14,25,0.500
125029479,0.492643,0.132572,0.057541,7,11,0.514
125029491,0.486114,0.130436,-0.024177,12,26,0.504
125029495,0.498334,0.133559,-0.008305,14,24,0.516
125029551,0.491064,0.129775,-0.008166,14,24,0.508
125029585,0.491480,0.128729,0.040749,5,4,0.510
125029590,0.485878,0.127107,0.056566,7,11,0.506
125029606,0.483780,0.126019,-0.008026,14,25,0.500
125029645,0.513241,0.132305,0.059978,7,10,0.534
125029656,0.483601,0.124280,-0.023968,12,27,0.500
125029659,0.503958,0.129432,0.110424,13,2,0.534
125029700,0.513708,0.130481,0.059978,7,10,0.534
125029712,0.499526,0.126492,-0.024805,12,26,0.516
125029714,0.504412,0.127651,0.110424,13,2,0.534
125029769,0.504854,0.125890,0.110424,13,2,0.534
125029772,0.485088,0.120886,-0.008026,14,25,0.500
125029827,0.485501,0.119217,-0.008026,14,25,0.500
125029921,0.492291,0.117840,0.057053,7,22,0.510
125029977,0.492700,0.116121,0.057053,7,11,0.510
125030253,0.490790,0.106576,0.056566,7,11,0.506
125030421,0.505492,0.104222,-0.058272,8,3,0.520
125031101,0.507272,0.082098,0.126492,15,2,0.532
125031156,0.507553,0.080343,0.126492,15,2,0.532
125031322,0.508366,0.075024,0.126492,15,2,0.532
125031433,0.508878,0.071473,0.126492,15,2,0.532
125031543,0.509364,0.067918,0.126492,15,2,0.532
125031654,0.509826,0.064361,0.126492,15,2,0.532
125035018,0.514409,-0.044568,0.092266,11,2,0.526
125035069,0.499732,-0.044908,0.072869,9,1,0.508
125035074,0.541625,-0.048831,0.097608,11,2,0.554
125035083,0.561792,-0.050979,0.139950,15,2,0.584
125035124,0.527108,-0.049223,0.077249,9,1,0.536
125035129,0.576635,-0.054017,0.104477,11,2,0.590
125035134,0.518031,-0.048680,0.110424,13,2,0.534
125035138,0.565458,-0.053302,0.140986,15,2,0.588
125035180,0.534797,-0.051825,0.078500,9,1,0.544
125035184,0.588168,-0.057169,0.106767,11,2,0.602
125035189,0.517858,-0.050488,0.110424,13,2,0.534
125035194,0.607567,-0.059412,0.152374,15,2,0.632
125035235,0.562130,-0.056455,0.082881,9,1,0.572
125035240,0.587965,-0.059222,0.106767,11,2,0.602
125035244,0.517679,-0.052295,0.110424,13,2,0.534
125035249,0.626576,-0.063480,0.157550,15,2,0.652
125035290,0.581577,-0.060459,0.086009,9,1,0.592
125035295,0.576038,-0.060053,0.104477,11,2,0.590
125035304,0.630193,-0.066069,0.158585,15,2,0.656
125035346,0.577435,-0.062067,0.085383,9,1,0.588
125035350,0.587537,-0.063325,0.106767,11,2,0.602
125035355,0.614174,-0.066377,0.132919,13,2,0.634
